




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (355)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
amide biosynthetic process (GO:0043604)	527	23	9.09	+	2.53	7.17E-05	2.25E-02
RNA metabolic process (GO:0016070)	1635	64	28.19	+	2.27	1.45E-09	1.51E-06
gene expression (GO:0010467)	2314	88	39.90	+	2.21	1.54E-12	3.46E-09
cellular amide metabolic process (GO:0043603)	802	30	13.83	+	2.17	9.84E-05	3.02E-02
nucleic acid metabolic process (GO:0090304)	2276	83	39.24	+	2.12	8.01E-11	9.66E-08
cellular nitrogen compound biosynthetic process (GO:0044271)	1588	56	27.38	+	2.05	6.68E-07	4.37E-04
cellular nitrogen compound metabolic process (GO:0034641)	3573	126	61.61	+	2.05	7.69E-16	4.02E-12
nucleobase-containing compound metabolic process (GO:0006139)	2825	98	48.71	+	2.01	1.20E-11	2.09E-08
organonitrogen compound biosynthetic process (GO:1901566)	1333	46	22.98	+	2.00	1.13E-05	5.20E-03
cellular aromatic compound metabolic process (GO:0006725)	3050	103	52.59	+	1.96	1.21E-11	1.90E-08
heterocycle metabolic process (GO:0046483)	2999	101	51.71	+	1.95	2.52E-11	3.29E-08
organic cyclic compound metabolic process (GO:1901360)	3292	110	56.76	+	1.94	3.63E-12	7.11E-09
protein-containing complex organization (GO:0043933)	1423	46	24.54	+	1.87	5.49E-05	1.83E-02
cellular biosynthetic process (GO:0044249)	2464	79	42.48	+	1.86	6.80E-08	5.61E-05
organic substance biosynthetic process (GO:1901576)	2534	80	43.69	+	1.83	1.01E-07	7.94E-05
biosynthetic process (GO:0009058)	2603	81	44.88	+	1.80	2.08E-07	1.42E-04
macromolecule biosynthetic process (GO:0009059)	1487	46	25.64	+	1.79	1.80E-04	4.64E-02
cellular macromolecule metabolic process (GO:0044260)	2518	73	43.42	+	1.68	9.83E-06	4.67E-03
cellular metabolic process (GO:0044237)	6606	189	113.90	+	1.66	4.10E-16	6.43E-12
nitrogen compound metabolic process (GO:0006807)	6710	188	115.70	+	1.62	5.84E-15	1.53E-11
cellular component biogenesis (GO:0044085)	2633	73	45.40	+	1.61	5.77E-05	1.89E-02
primary metabolic process (GO:0044238)	7228	200	124.63	+	1.60	7.25E-16	5.68E-12
macromolecule metabolic process (GO:0043170)	5941	163	102.44	+	1.59	1.69E-11	2.40E-08
organic substance metabolic process (GO:0071704)	7697	207	132.71	+	1.56	2.85E-15	8.95E-12
metabolic process (GO:0008152)	8131	215	140.20	+	1.53	2.28E-15	8.95E-12
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4067	100	70.12	+	1.43	1.62E-04	4.25E-02
organonitrogen compound metabolic process (GO:1901564)	5013	121	86.44	+	1.40	4.84E-05	1.65E-02
cellular component organization or biogenesis (GO:0071840)	5727	133	98.75	+	1.35	1.00E-04	3.02E-02
cellular process (GO:0009987)	15044	302	259.39	+	1.16	1.15E-07	8.58E-05
biological_process (GO:0008150)	17864	340	308.01	+	1.10	2.76E-08	2.70E-05
Unclassified (UNCLASSIFIED)	2725	15	46.99	-	.32	2.76E-08	2.54E-05
detection of stimulus involved in sensory perception (GO:0050906)	560	0	9.66	-	 < 0.01	1.55E-04	4.18E-02
