#ccds	gene	gene_id	ccds_status	attribute
CCDS11011.1	SERPINF2	5345	Public	CDS uses downstream AUG
CCDS11052.1	CXCL16	58191	Under review, update	CDS uses downstream AUG
CCDS11086.1	SLC16A11	162515	Reviewed, update pending	CDS uses downstream AUG
CCDS11094.1	ELP5	23587	Under review, update	CDS uses downstream AUG
CCDS11095.1	ELP5	23587	Under review, update	CDS uses downstream AUG
CCDS11251.1	ANKRD13B	124930	Public	CDS uses downstream AUG
CCDS11256.1	SLC6A4	6532	Public	CDS uses downstream AUG
CCDS11278.1	CCL7	6354	Public	CDS uses downstream AUG
CCDS11280.1	CCL8	6355	Public	CDS uses downstream AUG
CCDS11376.1	KRT28	162605	Public	CDS uses downstream AUG
CCDS11420.1	KCNH4	23415	Public	Nonsense-mediated decay (NMD) candidate
CCDS11446.1	G6PC1	2538	Public	CDS uses downstream AUG
CCDS11552.2	SLC35B1	10237	Reviewed, update pending	CDS uses downstream AUG
CCDS11697.1	DNAI2	64446	Public	Nonsense-mediated decay (NMD) candidate
CCDS11700.2	CD300LB	124599	Public	CDS uses downstream AUG
CCDS11702.1	CD300E	342510	Public	CDS uses downstream AUG
CCDS11736.1	CDK3	1018	Public	CDS uses downstream AUG
CCDS11754.1	TK1	7083	Public	CDS uses downstream AUG
CCDS11763.1	ENPP7	339221	Public	CDS uses downstream AUG
CCDS11834.1	TGIF1	7050	Under review, update	CDS uses downstream AUG
CCDS11881.1	CABYR	26256	Public	Nonsense-mediated decay (NMD) candidate
CCDS11882.1	CABYR	26256	Public	Nonsense-mediated decay (NMD) candidate
CCDS11894.1	DSC1	1823	Public	Inferred exon combination
CCDS11926.2	EPG5	57724	Public	Inferred exon combination
CCDS11929.2	LOXHD1	125336	Public	Inferred exon combination
CCDS11995.1	DSEL	92126	Reviewed, update pending	CDS uses downstream AUG
CCDS12032.1	BSG	682	Under review, update	CDS uses downstream AUG
CCDS12062.1	PWWP3A	84939	Reviewed, update pending	CDS uses downstream AUG
CCDS12300.2	PODNL1	79883	Public	CDS uses downstream AUG
CCDS12334.1	OR10H3	26532	Public	CDS uses downstream AUG
CCDS12353.1	USHBP1	83878	Public	Inferred exon combination
CCDS12407.1	LPAR2	9170	Under review, update	CDS uses downstream AUG
CCDS12470.1	UPK1A	11045	Public	CDS uses downstream AUG
CCDS12485.2	ALKBH6	84964	Under review, update	CDS uses downstream AUG
CCDS12534.2	ZFP36	7538	Reviewed, update pending	CDS uses downstream AUG
CCDS12611.1	PSG3	5671	Public	CDS uses downstream AUG
CCDS12614.2	PSG11	5680	Public	CDS uses downstream AUG
CCDS12615.2	PSG11	5680	Public	CDS uses downstream AUG
CCDS12679.1	NOVA2	4858	Public	CDS uses downstream AUG
CCDS12690.1	STRN4	29888	Public	Nonsense-mediated decay (NMD) candidate
CCDS12733.1	FUT1	2523	Public	CDS uses downstream AUG
CCDS12763.1	PTH2	113091	Public	CDS uses downstream AUG
CCDS12782.1	PTOV1	53635	Public	Nonsense-mediated decay (NMD) candidate
CCDS12790.2	SIGLEC11	114132	Public	CDS uses downstream AUG
CCDS12823.2	KLK14	43847	Reviewed, update pending	CDS uses downstream AUG
CCDS12833.1	SIGLEC12	89858	Public	Polymorphic pseudogene
CCDS12886.1	LILRB2	10288	Public	CDS uses downstream AUG
CCDS12901.1	LILRA1	11024	Public	CDS uses downstream AUG
CCDS13148.1	THBD	7056	Public	CDS uses downstream AUG
CCDS13165.2	CST7	8530	Public	CDS uses downstream AUG
CCDS13183.1	HM13	81502	Public	Nonsense-mediated decay (NMD) candidate
CCDS13203.1	C20orf203	284805	Public	Nonsense-mediated decay (NMD) candidate
CCDS13212.1	BPIFB3	359710	Under review, update	CDS uses downstream AUG
CCDS13213.2	BPIFB4	149954	Public	CDS uses downstream AUG
CCDS13213.2	BPIFB4	149954	Public	Inferred exon combination
CCDS13232.1	ASIP	434	Public	CDS uses downstream AUG
CCDS13303.1	BPI	671	Reviewed, update pending	CDS uses downstream AUG
CCDS13320.1	SGK2	10110	Under review, update	CDS uses downstream AUG
CCDS13449.2	MC3R	4159	Public	CDS uses downstream AUG
CCDS13471.1	GNAS	2778	Public	Nonsense-mediated decay (NMD) candidate
CCDS13473.2	NELFCD	51497	Reviewed, update pending	CDS uses downstream AUG
CCDS13564.1	LIPI	149998	Under review, update	CDS uses downstream AUG
CCDS13636.1	KCNE1	3753	Public	CDS uses downstream AUG
CCDS13667.1	B3GALT5	10317	Public	Inferred exon combination
CCDS13676.1	PRDM15	63977	Under review, update	CDS uses downstream AUG
CCDS13802.2	GGTLC2	91227	Public	CDS uses downstream AUG
CCDS13805.1	RAB36	9609	Under review, update	CDS uses downstream AUG
CCDS13841.1	CRYBA4	1413	Public	CDS uses downstream AUG
CCDS13941.1	TMPRSS6	164656	Under review, update	CDS uses downstream AUG
CCDS14040.1	CYB5R3	1727	Public	CDS uses downstream AUG
CCDS14124.1	MXRA5	25878	Public	CDS uses downstream AUG
CCDS14127.1	STS	412	Reviewed, update pending	CDS uses downstream AUG
CCDS14173.1	AP1S2	8905	Public	CDS uses downstream AUG
CCDS14256.1	NYX	60506	Under review, update	CDS uses downstream AUG
CCDS14364.1	PFKFB1	5207	Public	CDS uses downstream AUG
CCDS14384.3	HEPH	9843	Under review, update	CDS uses downstream AUG
CCDS14461.1	PCDH11X	27328	Public	CDS uses downstream AUG
CCDS14476.2	XKRX	402415	Public	CDS uses downstream AUG
CCDS14653.1	MMGT1	93380	Public	CDS uses downstream AUG
CCDS14800.1	BPY2	9083	Public	Nonsense-mediated decay (NMD) candidate
CCDS30553.1	SDF4	51150	Under review, update	CDS uses downstream AUG
CCDS30578.1	CA6	765	Public	CDS uses downstream AUG
CCDS30694.2	SZT2	23334	Public	Inferred exon combination
CCDS30705.1	MKNK1	8569	Reviewed, update pending	CDS uses downstream AUG
CCDS30862.1	KPRP	448834	Public	Inferred exon combination
CCDS30904.1	OR6K6	128371	Under review, update	CDS uses downstream AUG
CCDS30982.1	NFASC	23114	Public	CDS uses downstream AUG
CCDS31013.1	PLXNA2	5362	Public	CDS uses downstream AUG
CCDS31062.1	LYST	1130	Public	Inferred exon combination
CCDS31102.1	OR2AK2	391191	Under review, update	CDS uses downstream AUG
CCDS31116.1	OR2T2	401992	Public	CDS uses downstream AUG
CCDS31124.1	OR2T27	403239	Public	CDS uses downstream AUG
CCDS31174.1	LYZL1	84569	Reviewed, update pending	CDS uses downstream AUG
CCDS31238.1	PTEN	5728	Public	CDS uses downstream AUG
CCDS31298.1	FGFR2	2263	Public	CDS uses downstream AUG
CCDS31340.1	TRPM5	29850	Public	CDS uses downstream AUG
CCDS31361.1	OR51F2	119694	Reviewed, update pending	CDS uses downstream AUG
CCDS31381.1	OR51Q1	390061	Public	Polymorphic pseudogene
CCDS31386.1	OR52H1	390067	Under review, update	CDS uses downstream AUG
CCDS31405.1	OR56A1	120796	Under review, update	CDS uses downstream AUG
CCDS31413.1	OR2AG2	338755	Public	CDS uses downstream AUG
CCDS31414.1	OR2AG1	144125	Public	Polymorphic pseudogene
CCDS31428.1	EIF4G2	1982	Public	Non-AUG initiation codon
CCDS31487.1	OR4X1	390113	Public	Polymorphic pseudogene
CCDS31489.1	OR4C3	256144	Reviewed, update pending	CDS uses downstream AUG
CCDS31516.1	OR5AS1	219447	Public	CDS uses downstream AUG
CCDS31523.1	OR5T2	219464	Under review, update	CDS uses downstream AUG
CCDS31539.1	LRRC55	219527	Reviewed, update pending	CDS uses downstream AUG
CCDS31541.1	OR6Q1	219952	Public	Polymorphic pseudogene
CCDS31542.1	OR9I1	219954	Public	CDS uses downstream AUG
CCDS31606.1	SPDYC	387778	Under review, update	CDS uses downstream AUG
CCDS31674.1	POU2AF2	341032	Reviewed, update pending	Inferred exon combination
CCDS31701.1	OR10S1	219873	Under review, update	CDS uses downstream AUG
CCDS31710.1	OR8B4	283162	Public	Polymorphic pseudogene
CCDS31712.1	OR8A1	390275	Reviewed, update pending	CDS uses downstream AUG
CCDS31724.1	GLB1L2	89944	Public	Nonsense-mediated decay (NMD) candidate
CCDS31729.1	TEAD4	7004	Public	Non-AUG initiation codon
CCDS31730.1	TEAD4	7004	Public	Non-AUG initiation codon
CCDS31804.1	ACVRL1	94	Public	CDS uses downstream AUG
CCDS31814.1	OR9K2	441639	Under review, update	Inferred exon combination
CCDS31826.2	OR6C68	403284	Public	Inferred exon combination
CCDS31894.2	ASCL4	121549	Under review, update	CDS uses downstream AUG
CCDS31999.1	IPO5	3843	Reviewed, update pending	CDS uses downstream AUG
CCDS32030.1	OR4K17	390436	Under review, update	CDS uses downstream AUG
CCDS32037.1	RNASE12	493901	Public	CDS uses downstream AUG
CCDS32042.1	OR5AU1	390445	Reviewed, update pending	CDS uses downstream AUG
CCDS32046.1	OR10G3	26533	Public	CDS uses downstream AUG
CCDS32075.1	DMAC2L	27109	Reviewed, update pending	CDS uses downstream AUG
CCDS32076.1	DMAC2L	27109	Reviewed, update pending	CDS uses downstream AUG
CCDS32111.1	ADAM20	8748	Reviewed, update pending	CDS uses downstream AUG
CCDS32120.1	LIN52	91750	Reviewed, update pending	CDS uses downstream AUG
CCDS32367.1	FAHD1	81889	Under review, update	CDS uses downstream AUG
CCDS32432.1	SLX1A	548593	Public	CDS uses downstream AUG
CCDS32495.1	SLC38A8	146167	Public	Inferred exon combination
CCDS32578.1	MPRIP	23164	Public	CDS uses downstream AUG
CCDS32609.1	LRRC37B	114659	Public	CDS uses downstream AUG
CCDS32665.1	ITGA2B	3674	Public	CDS uses downstream AUG
CCDS32680.2	MYCBPAP	84073	Reviewed, update pending	CDS uses downstream AUG
CCDS32812.2	SLC25A52	147407	Reviewed, update pending	CDS uses downstream AUG
CCDS32816.1	FHOD3	80206	Public	Inferred exon combination
CCDS32854.1	OR4F17	81099	Public	CDS uses downstream AUG
CCDS32896.1	OR1M1	125963	Public	CDS uses downstream AUG
CCDS32905.2	FDX2	112812	Reviewed, update pending	CDS uses downstream AUG
CCDS32937.1	OR1I1	126370	Public	CDS uses downstream AUG
CCDS32989.1	SCGB2B2	284402	Public	CDS uses downstream AUG
CCDS33104.1	CACNG8	59283	Public	Non-AUG initiation codon
CCDS33265.1	POU3F3	5455	Public	Inferred exon combination
CCDS33337.1	TTN	7273	Public	Inferred exon combination
CCDS33351.2	ANKAR	150709	Public	Inferred exon combination
CCDS33375.1	PECR	55825	Public	CDS uses downstream AUG
CCDS33418.1	DUSP28	285193	Public	Nonsense-mediated decay (NMD) candidate
CCDS33423.1	ANO7	50636	Reviewed, update pending	CDS uses downstream AUG
CCDS33457.1	DEFB124	245937	Public	CDS uses downstream AUG
CCDS33460.1	HCK	3055	Public	Non-AUG initiation codon
CCDS33603.2	PI4KA	5297	Public	CDS uses downstream AUG
CCDS33617.1	GSTT2B	653689	Public	Polymorphic pseudogene
CCDS33646.1	DDX17	10521	Public	Non-AUG initiation codon
CCDS33647.1	NPTXR	23467	Public	Non-AUG initiation codon
CCDS33704.1	NUP210	23225	Public	Inferred exon combination
CCDS33723.1	ZCWPW2	152098	Public	CDS uses downstream AUG
CCDS33800.1	OR5H6	79295	Reviewed, update pending	CDS uses downstream AUG
CCDS33800.1	OR5H6	79295	Reviewed, update pending	Polymorphic pseudogene
CCDS33801.1	OR5H2	79310	Under review, update	CDS uses downstream AUG
CCDS33847.2	PLXNA1	5361	Public	CDS uses downstream AUG
CCDS33974.1	KLHL5	51088	Under review, update	CDS uses downstream AUG
CCDS34003.1	ANKRD17	26057	Public	Inferred exon combination
CCDS34004.1	ANKRD17	26057	Public	Inferred exon combination
CCDS34034.1	ADH7	131	Under review, update	CDS uses downstream AUG
CCDS34059.1	FGF2	2247	Public	Non-AUG initiation codon
CCDS34124.2	PLEKHG4B	153478	Public	Inferred exon combination
CCDS34144.1	DNAJC21	134218	Public	CDS uses downstream AUG
CCDS34146.2	CPLANE1	65250	Public	Inferred exon combination
